Step,N,maxaug_c,Nscores
133,0.079999998,27.18221092,-99.99990082
134,0.079999998,27.29889679,-99.99990082
135,0.079999998,27.41557884,-99.99990082
136,0.079999998,27.53226089,-99.99990082
137,0.079999998,27.64894485,-99.99990082
138,0.079999998,27.76562881,-99.99990082
139,0.079999998,27.88231277,-99.99990082
140,0.079999998,27.99899673,-99.99990082
141,0.079999998,28.11568069,-99.99990082
142,0.079999998,28.23236465,-99.99990082
143,0.079999998,28.3490448,-99.99990082
144,0.079999998,28.46572876,-99.99990082
145,0.079999998,28.58241272,-99.99990082
146,0.079999998,28.69909668,-99.99990082
147,0.079999998,28.81578064,-99.99990082
148,0.079999998,28.93246078,-99.99990082
149,0.079999998,29.04914474,-99.99990082
150,0.079999998,29.1658287,-99.99990082
151,0.079999998,29.28251266,-99.99990082
152,0.079999998,29.39919662,-99.99990082
153,0.079999998,29.51588058,-99.99990082
154,0.079999998,29.63256454,-99.99990082
155,0.079999998,29.7492485,-99.99990082
156,0.079999998,29.86592865,-99.99990082
157,0.079999998,29.98261261,-99.99990082
